code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
0483,4,8,3,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Interim - Continuing Claims
0583,5,8,3,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Interim - Continuing Claims
0683,6,8,3,Intermediate Care,Reserved for National Assignment,68,Interim - Continuing Claims
0783,7,8,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Interim - Continuing Claims
0883,8,8,3,Special facility or hospital,Reserved for National Assignment,88,Interim - Continuing Claims
0983,9,8,3,Reserved for National Assignment,Reserved for National Assignment,98,Interim - Continuing Claims
0193,1,9,3,Hospital,Reserved for National Assignment,19,Interim - Continuing Claims
0293,2,9,3,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Interim - Continuing Claims
0393,3,9,3,Home Health,Reserved for National Assignment,39,Interim - Continuing Claims
0493,4,9,3,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Interim - Continuing Claims
0593,5,9,3,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Interim - Continuing Claims
0693,6,9,3,Intermediate Care,Reserved for National Assignment,69,Interim - Continuing Claims
0793,7,9,3,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Interim - Continuing Claims
0893,8,9,3,Special facility or hospital,Other,89,Interim - Continuing Claims
0993,9,9,3,Reserved for National Assignment,Reserved for National Assignment,99,Interim - Continuing Claims
0114,1,1,4,Hospital,Inpatient (Part A),11,Interim - Last Claim
0214,2,1,4,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Interim - Last Claim
0314,3,1,4,Home Health,Inpatient (Part A),31,Interim - Last Claim
0414,4,1,4,Religious Nonmedical (Hospital),Inpatient (Part A),41,Interim - Last Claim
0514,5,1,4,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Interim - Last Claim
0614,6,1,4,Intermediate Care,Inpatient (Part A),61,Interim - Last Claim
0714,7,1,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Interim - Last Claim
0814,8,1,4,Special facility or hospital,Hospice (non-hospital based),81,Interim - Last Claim
0914,9,1,4,Reserved for National Assignment,Inpatient (Part A),91,Interim - Last Claim
0124,1,2,4,Hospital,Inpatient (Part B),12,Interim - Last Claim
0224,2,2,4,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Interim - Last Claim
0324,3,2,4,Home Health,Inpatient (Part B),32,Interim - Last Claim
0424,4,2,4,Religious Nonmedical (Hospital),Inpatient (Part B),42,Interim - Last Claim
0524,5,2,4,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Interim - Last Claim
0624,6,2,4,Intermediate Care,Inpatient (Part B),62,Interim - Last Claim
0724,7,2,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Interim - Last Claim
0824,8,2,4,Special facility or hospital,Hospice (hospital based),82,Interim - Last Claim
0924,9,2,4,Reserved for National Assignment,Inpatient (Part B),92,Interim - Last Claim
0134,1,3,4,Hospital,Outpatient,13,Interim - Last Claim
0234,2,3,4,Skilled Nursing Facility (SNF),Outpatient,23,Interim - Last Claim
0334,3,3,4,Home Health,Outpatient,33,Interim - Last Claim
0434,4,3,4,Religious Nonmedical (Hospital),Outpatient,43,Interim - Last Claim
0534,5,3,4,Religious Nonmedical (Extended Care),Outpatient,53,Interim - Last Claim
0634,6,3,4,Intermediate Care,Outpatient,63,Interim - Last Claim
0734,7,3,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Interim - Last Claim
0834,8,3,4,Special facility or hospital,ASC Services to Hospital Outpatients,83,Interim - Last Claim
0934,9,3,4,Reserved for National Assignment,Outpatient,93,Interim - Last Claim
0144,1,4,4,Hospital,Other (Part B),14,Interim - Last Claim
0244,2,4,4,Skilled Nursing Facility (SNF),Other (Part B),24,Interim - Last Claim
0344,3,4,4,Home Health,Other (Part B),34,Interim - Last Claim
0444,4,4,4,Religious Nonmedical (Hospital),Other (Part B),44,Interim - Last Claim
0544,5,4,4,Religious Nonmedical (Extended Care),Other (Part B),54,Interim - Last Claim
0644,6,4,4,Intermediate Care,Other (Part B),64,Interim - Last Claim
0744,7,4,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Interim - Last Claim
0844,8,4,4,Special facility or hospital,Free Standing Birthing Center,84,Interim - Last Claim
0944,9,4,4,Reserved for National Assignment,Other (Part B),94,Interim - Last Claim
0154,1,5,4,Hospital,Intermediate Care - Level I,15,Interim - Last Claim
0254,2,5,4,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Interim - Last Claim
0354,3,5,4,Home Health,Intermediate Care - Level I,35,Interim - Last Claim
0454,4,5,4,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Interim - Last Claim
0554,5,5,4,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Interim - Last Claim
0654,6,5,4,Intermediate Care,Intermediate Care - Level I,65,Interim - Last Claim
0754,7,5,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Interim - Last Claim
0854,8,5,4,Special facility or hospital,Critical Access Hospital (CAH),85,Interim - Last Claim
0954,9,5,4,Reserved for National Assignment,Intermediate Care - Level I,95,Interim - Last Claim
0164,1,6,4,Hospital,Intermediate Care - Level II,16,Interim - Last Claim
0264,2,6,4,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Interim - Last Claim
0364,3,6,4,Home Health,Intermediate Care - Level II,36,Interim - Last Claim
0464,4,6,4,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Interim - Last Claim
0564,5,6,4,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Interim - Last Claim
0664,6,6,4,Intermediate Care,Intermediate Care - Level II,66,Interim - Last Claim
0764,7,6,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Interim - Last Claim
0864,8,6,4,Special facility or hospital,Residential Facility,86,Interim - Last Claim
0964,9,6,4,Reserved for National Assignment,Intermediate Care - Level II,96,Interim - Last Claim
0174,1,7,4,Hospital,Subacute Inpatient,17,Interim - Last Claim
0274,2,7,4,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Interim - Last Claim
0374,3,7,4,Home Health,Subacute Inpatient,37,Interim - Last Claim
0474,4,7,4,Religious Nonmedical (Hospital),Subacute Inpatient,47,Interim - Last Claim
0574,5,7,4,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Interim - Last Claim
0674,6,7,4,Intermediate Care,Subacute Inpatient,67,Interim - Last Claim
0774,7,7,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Interim - Last Claim
0874,8,7,4,Special facility or hospital,Reserved for National Assignment,87,Interim - Last Claim
0974,9,7,4,Reserved for National Assignment,Subacute Inpatient,97,Interim - Last Claim
0184,1,8,4,Hospital,Reserved for National Assignment,18,Interim - Last Claim
0284,2,8,4,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Interim - Last Claim
0384,3,8,4,Home Health,Reserved for National Assignment,38,Interim - Last Claim
0484,4,8,4,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Interim - Last Claim
0584,5,8,4,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Interim - Last Claim
0684,6,8,4,Intermediate Care,Reserved for National Assignment,68,Interim - Last Claim
0784,7,8,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Interim - Last Claim
0884,8,8,4,Special facility or hospital,Reserved for National Assignment,88,Interim - Last Claim
0984,9,8,4,Reserved for National Assignment,Reserved for National Assignment,98,Interim - Last Claim
0194,1,9,4,Hospital,Reserved for National Assignment,19,Interim - Last Claim
0294,2,9,4,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Interim - Last Claim
0394,3,9,4,Home Health,Reserved for National Assignment,39,Interim - Last Claim
0494,4,9,4,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Interim - Last Claim
0594,5,9,4,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Interim - Last Claim
0694,6,9,4,Intermediate Care,Reserved for National Assignment,69,Interim - Last Claim
0794,7,9,4,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Interim - Last Claim
0894,8,9,4,Special facility or hospital,Other,89,Interim - Last Claim
0994,9,9,4,Reserved for National Assignment,Reserved for National Assignment,99,Interim - Last Claim
0115,1,1,5,Hospital,Inpatient (Part A),11,Late Charge Only
0215,2,1,5,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Late Charge Only
0315,3,1,5,Home Health,Inpatient (Part A),31,Late Charge Only
0415,4,1,5,Religious Nonmedical (Hospital),Inpatient (Part A),41,Late Charge Only
0515,5,1,5,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Late Charge Only
0615,6,1,5,Intermediate Care,Inpatient (Part A),61,Late Charge Only
0715,7,1,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Late Charge Only
0815,8,1,5,Special facility or hospital,Hospice (non-hospital based),81,Late Charge Only
0915,9,1,5,Reserved for National Assignment,Inpatient (Part A),91,Late Charge Only
0125,1,2,5,Hospital,Inpatient (Part B),12,Late Charge Only
0225,2,2,5,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Late Charge Only
0325,3,2,5,Home Health,Inpatient (Part B),32,Late Charge Only
0425,4,2,5,Religious Nonmedical (Hospital),Inpatient (Part B),42,Late Charge Only
0525,5,2,5,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Late Charge Only
0625,6,2,5,Intermediate Care,Inpatient (Part B),62,Late Charge Only
0725,7,2,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Late Charge Only
0825,8,2,5,Special facility or hospital,Hospice (hospital based),82,Late Charge Only
0925,9,2,5,Reserved for National Assignment,Inpatient (Part B),92,Late Charge Only
0135,1,3,5,Hospital,Outpatient,13,Late Charge Only
0235,2,3,5,Skilled Nursing Facility (SNF),Outpatient,23,Late Charge Only
0335,3,3,5,Home Health,Outpatient,33,Late Charge Only
0435,4,3,5,Religious Nonmedical (Hospital),Outpatient,43,Late Charge Only
0535,5,3,5,Religious Nonmedical (Extended Care),Outpatient,53,Late Charge Only
0635,6,3,5,Intermediate Care,Outpatient,63,Late Charge Only
0735,7,3,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Late Charge Only
0835,8,3,5,Special facility or hospital,ASC Services to Hospital Outpatients,83,Late Charge Only
0935,9,3,5,Reserved for National Assignment,Outpatient,93,Late Charge Only
0145,1,4,5,Hospital,Other (Part B),14,Late Charge Only
0245,2,4,5,Skilled Nursing Facility (SNF),Other (Part B),24,Late Charge Only
0345,3,4,5,Home Health,Other (Part B),34,Late Charge Only
0445,4,4,5,Religious Nonmedical (Hospital),Other (Part B),44,Late Charge Only
0545,5,4,5,Religious Nonmedical (Extended Care),Other (Part B),54,Late Charge Only
0645,6,4,5,Intermediate Care,Other (Part B),64,Late Charge Only
0745,7,4,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Late Charge Only
0845,8,4,5,Special facility or hospital,Free Standing Birthing Center,84,Late Charge Only
0945,9,4,5,Reserved for National Assignment,Other (Part B),94,Late Charge Only
0155,1,5,5,Hospital,Intermediate Care - Level I,15,Late Charge Only
0255,2,5,5,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Late Charge Only
0355,3,5,5,Home Health,Intermediate Care - Level I,35,Late Charge Only
0455,4,5,5,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Late Charge Only
0555,5,5,5,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Late Charge Only
0655,6,5,5,Intermediate Care,Intermediate Care - Level I,65,Late Charge Only
0755,7,5,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Late Charge Only
0855,8,5,5,Special facility or hospital,Critical Access Hospital (CAH),85,Late Charge Only
0955,9,5,5,Reserved for National Assignment,Intermediate Care - Level I,95,Late Charge Only
0165,1,6,5,Hospital,Intermediate Care - Level II,16,Late Charge Only
0265,2,6,5,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Late Charge Only
0365,3,6,5,Home Health,Intermediate Care - Level II,36,Late Charge Only
0465,4,6,5,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Late Charge Only
0565,5,6,5,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Late Charge Only
0665,6,6,5,Intermediate Care,Intermediate Care - Level II,66,Late Charge Only
0765,7,6,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Late Charge Only
0865,8,6,5,Special facility or hospital,Residential Facility,86,Late Charge Only
0965,9,6,5,Reserved for National Assignment,Intermediate Care - Level II,96,Late Charge Only
0175,1,7,5,Hospital,Subacute Inpatient,17,Late Charge Only
0275,2,7,5,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Late Charge Only
0375,3,7,5,Home Health,Subacute Inpatient,37,Late Charge Only
0475,4,7,5,Religious Nonmedical (Hospital),Subacute Inpatient,47,Late Charge Only
0575,5,7,5,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Late Charge Only
0675,6,7,5,Intermediate Care,Subacute Inpatient,67,Late Charge Only
0775,7,7,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Late Charge Only
0875,8,7,5,Special facility or hospital,Reserved for National Assignment,87,Late Charge Only
0975,9,7,5,Reserved for National Assignment,Subacute Inpatient,97,Late Charge Only
0185,1,8,5,Hospital,Reserved for National Assignment,18,Late Charge Only
0285,2,8,5,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Late Charge Only
0385,3,8,5,Home Health,Reserved for National Assignment,38,Late Charge Only
0485,4,8,5,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Late Charge Only
0585,5,8,5,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Late Charge Only
0685,6,8,5,Intermediate Care,Reserved for National Assignment,68,Late Charge Only
0785,7,8,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Late Charge Only
0885,8,8,5,Special facility or hospital,Reserved for National Assignment,88,Late Charge Only
0985,9,8,5,Reserved for National Assignment,Reserved for National Assignment,98,Late Charge Only
0195,1,9,5,Hospital,Reserved for National Assignment,19,Late Charge Only
0295,2,9,5,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Late Charge Only
0395,3,9,5,Home Health,Reserved for National Assignment,39,Late Charge Only
0495,4,9,5,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Late Charge Only
0595,5,9,5,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Late Charge Only
0695,6,9,5,Intermediate Care,Reserved for National Assignment,69,Late Charge Only
0795,7,9,5,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Late Charge Only
0895,8,9,5,Special facility or hospital,Other,89,Late Charge Only
0995,9,9,5,Reserved for National Assignment,Reserved for National Assignment,99,Late Charge Only
0117,1,1,7,Hospital,Inpatient (Part A),11,Replacement of Prior Claim
0217,2,1,7,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Replacement of Prior Claim
0317,3,1,7,Home Health,Inpatient (Part A),31,Replacement of Prior Claim
0417,4,1,7,Religious Nonmedical (Hospital),Inpatient (Part A),41,Replacement of Prior Claim
0517,5,1,7,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Replacement of Prior Claim
0617,6,1,7,Intermediate Care,Inpatient (Part A),61,Replacement of Prior Claim
0717,7,1,7,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Replacement of Prior Claim
0817,8,1,7,Special facility or hospital,Hospice (non-hospital based),81,Replacement of Prior Claim
